asin,sku_id,dtc_title,amazon_title,candidate_score,search_candidate_status
B0FH1KX7XQ,cream-wooden-play-kitchen-set-with-storage,Cream Wooden Play Kitchen Set with Storage,"Play Kitchen for Kids Indoor Pretend Play, Wood Toy Set with 2 Storage Boxes, Stove, Sink, Ice Maker, Pots and Pans, Kitchen Set for Cooking Play",92,pdp_queue_variant_cluster
B0FH1KX7XQ,midnight-serenity-wooden-play-kitchen-set,Midnight Serenity Wooden Play Kitchen Set,"Play Kitchen for Kids Indoor Pretend Play, Wood Toy Set with 2 Storage Boxes, Stove, Sink, Ice Maker, Pots and Pans, Kitchen Set for Cooking Play",85,pdp_queue_variant_cluster
B0FH1KX7XQ,stylish-wooden-kids-kitchen-playset,Stylish Wooden Kids Kitchen Playset,"Play Kitchen for Kids Indoor Pretend Play, Wood Toy Set with 2 Storage Boxes, Stove, Sink, Ice Maker, Pots and Pans, Kitchen Set for Cooking Play",80,pdp_queue_variant_cluster
B0FLPXNKNB,kids-desk-chair-set-with-cork-board-hutch,Kids’ Desk & Chair Set with Cork Board & Hutch,"Wooden Pink Kids Study Desk and Chair Set, 2 Drawers and 2 Storage Cabinets, Children Desk with Hutch and Bookshelf, Girls Study Desk for Kids Bedroom",43,search_competitor_or_generic_top_result
B0FLPXNKNB,children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,Children’s Writing Desk and Chair Set with Hutch & Cork Board for Study & Art,"Wooden Pink Kids Study Desk and Chair Set, 2 Drawers and 2 Storage Cabinets, Children Desk with Hutch and Bookshelf, Girls Study Desk for Kids Bedroom",40,search_competitor_or_generic_top_result
B0FMRDDRZK,learning-tower-montessori-kitchen-tower-unicorn-design,Learning Tower & Montessori Kitchen Tower (Unicorn Design),"Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift",95,pdp_queue_variant_cluster
B0FMRDDRZK,learning-tower-montessori-kitchen-tower-gray,Learning Tower & Montessori Kitchen Tower (Gray),"labebe Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift",94,pdp_queue_variant_cluster
B0FMRDDRZK,learning-tower-montessori-kitchen-tower-white,Learning Tower & Montessori Kitchen Tower (White),"labebe Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift",94,pdp_queue_variant_cluster
B0FMRDDRZK,learning-tower-montessori-kitchen-tower-with-slide,Learning Tower & Montessori Kitchen Tower with Slide,"Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift",94,pdp_queue_variant_cluster
B0FMRDDRZK,foldable-learning-tower-montessori-kitchen-tower-log-color,Foldable Learning Tower & Montessori Kitchen Tower (Log Color),"Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift",91,pdp_queue_variant_cluster
B0FMRDDRZK,learning-tower-montessori-kitchen-tower-log-color,Learning Tower & Montessori Kitchen Tower (Log Color),"labebe Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift",90,pdp_queue_variant_cluster
B0GKM5TTK7,outdoor-mud-kitchen-yellow,Outdoor Mud Kitchen - Yellow,ROBUD,25,search_competitor_or_generic_top_result
B0GKM5TTK7,wooden-mud-kitchen-outdoor-play-kitchen-with-planter-box-sink,Wooden Mud Kitchen with Planter Box,ROBUD,25,search_competitor_or_generic_top_result
