sku_id,title_clean,primary_world,catalog_scope,website_role,dtc_review_count_visible,amazon_identity_lane,current_asin,amazon_review_count,amazon_sold_by,search_candidate_asin,search_candidate_status,search_candidate_score,human_review_status,promotion_lane,batch_id,priority,recommended_method,next_action,public_copy_rule,worker_guardrail
doll-stroller-baby-push-walker,Doll Stroller Baby Push Walker,First Steps & Activity,site_all_only,family_collection_not_exact_marketplace_claim,,variant_cluster_research,B0F8PZ7KZQ,73,Labebe Store,B0F8PZ7KZQ,search_competitor_or_generic_top_result,55,human_variant_cluster_probable,variant_cluster_review,B1_variant_cluster_map,P1_high,provider_variation_api_or_manual_variant_sheet,Build variant map with provider/PDP variation data and image review before exact SKU claims.,no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
kids-art-table-chair-set-with-easel-3-in-1,Kids Art Table & Chair Set with Easel (3 in 1),First Steps & Activity,core_product,family_collection_not_exact_marketplace_claim,7,no_marketplace_identity_yet,,,,B0G3PQSH77,pdp_queue_high_confidence,85,,,B3_no_identity_high_signal,P1_high,pdp_probe_then_visual_gate,Search found a high-scoring candidate but no accepted identity; run PDP probe and visual gate.,no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,Children’s Writing Desk and Chair Set with Hutch & Cork Board for Study & Art,Montessori Home & Study,core_product,navigation_and_room_solution_anchor,12,no_marketplace_identity_yet,,,,B0FLPXNKNB,search_competitor_or_generic_top_result,40,,,B3_no_identity_restart_discovery,P1_high,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
kids-wooden-desk---chair-set-with-corkboard--hutch-storage---organizer,"Kids Wooden Desk & Chair Set with Corkboard, Hutch Storage & Organizer",Montessori Home & Study,core_product,navigation_and_room_solution_anchor,11,no_marketplace_identity_yet,,,,B0F3HTRVLL,search_competitor_or_generic_top_result,25,,,B3_no_identity_restart_discovery,P1_high,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
natural-wood-montessori-shelf-with-storage-boxes,Natural Wood Montessori Shelf with Storage Boxes,Montessori Home & Study,core_product,navigation_and_room_solution_anchor,9,no_marketplace_identity_yet,,,,B0FLXN9MG7,search_competitor_or_generic_top_result,25,,,B3_no_identity_restart_discovery,P1_high,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
rubber-wood-montessori-shelf,Rubber Wood Montessori Shelf,Montessori Home & Study,core_product,navigation_and_room_solution_anchor,7,no_marketplace_identity_yet,,,,B0G6KY6WQY,search_competitor_or_generic_top_result,55,,,B3_no_identity_restart_discovery,P1_high,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
kids-desk-chair-set-with-cork-board-hutch,Kids’ Desk & Chair Set with Cork Board & Hutch,Montessori Home & Study,core_product,navigation_and_room_solution_anchor,5,no_marketplace_identity_yet,,,,B0FLPXNKNB,search_competitor_or_generic_top_result,43,,,B3_no_identity_restart_discovery,P1_high,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
learning-tower-montessori-kitchen-tower-with-slide,Learning Tower & Montessori Kitchen Tower with Slide,Montessori Home & Study,site_all_only,supporting_catalog_item,3,retry_or_provider_required,B0FMRDDRZK,,,B0FMRDDRZK,pdp_queue_variant_cluster,94,human_retry_required,provider_or_pdp_retry,B2_pdp_retry_provider,P2_medium,browser_harness_retry_then_provider_fallback,"Retry PDP capture or use a product-data provider; current browser capture is weak, blank, or missing social-proof/image detail.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
mammoth-plush-rocker,Mammoth Plush Rocker,Giftable Rockers,core_product,supporting_catalog_item,3,retry_or_provider_required,B07Z3DXVQT,,,B07Z3DXVQT,pdp_queue_variant_cluster,100,human_retry_required,provider_or_pdp_retry,B2_pdp_retry_provider,P2_medium,browser_harness_retry_then_provider_fallback,"Retry PDP capture or use a product-data provider; current browser capture is weak, blank, or missing social-proof/image detail.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
princess-vanity-set-with-stool-and-lights,Princess Vanity Set with Stool and Lights,Pretend Play Worlds,core_product,supporting_catalog_item,3,retry_or_provider_required,B0FLD8TWWN,,,B0FLD8TWWN,pdp_queue_high_confidence,92,human_retry_required,provider_or_pdp_retry,B2_pdp_retry_provider,P2_medium,browser_harness_retry_then_provider_fallback,"Retry PDP capture or use a product-data provider; current browser capture is weak, blank, or missing social-proof/image detail.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
sheep-plush-rocker,Sheep Plush Rocker,Giftable Rockers,core_product,supporting_catalog_item,3,retry_or_provider_required,B0DJ6XM7GK,,,B0DJ6XM7GK,pdp_queue_high_confidence,100,human_retry_required,provider_or_pdp_retry,B2_pdp_retry_provider,P2_medium,browser_harness_retry_then_provider_fallback,"Retry PDP capture or use a product-data provider; current browser capture is weak, blank, or missing social-proof/image detail.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
foldable-learning-tower-montessori-kitchen-tower-log-color,Foldable Learning Tower & Montessori Kitchen Tower (Log Color),Montessori Home & Study,core_product,supporting_catalog_item,,retry_or_provider_required,B0FMRDDRZK,,,B0FMRDDRZK,pdp_queue_variant_cluster,91,human_retry_required,provider_or_pdp_retry,B2_pdp_retry_provider,P2_medium,browser_harness_retry_then_provider_fallback,"Retry PDP capture or use a product-data provider; current browser capture is weak, blank, or missing social-proof/image detail.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
learning-tower-montessori-kitchen-tower-gray,Learning Tower & Montessori Kitchen Tower (Gray),Montessori Home & Study,core_product,supporting_catalog_item,,retry_or_provider_required,B0FMRDDRZK,,,B0FMRDDRZK,pdp_queue_variant_cluster,94,human_retry_required,provider_or_pdp_retry,B2_pdp_retry_provider,P2_medium,browser_harness_retry_then_provider_fallback,"Retry PDP capture or use a product-data provider; current browser capture is weak, blank, or missing social-proof/image detail.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
learning-tower-montessori-kitchen-tower-log-color,Learning Tower & Montessori Kitchen Tower (Log Color),Montessori Home & Study,site_all_only,supporting_catalog_item,,retry_or_provider_required,B0FMRDDRZK,,,B0FMRDDRZK,pdp_queue_variant_cluster,90,human_retry_required,provider_or_pdp_retry,B2_pdp_retry_provider,P2_medium,browser_harness_retry_then_provider_fallback,"Retry PDP capture or use a product-data provider; current browser capture is weak, blank, or missing social-proof/image detail.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
learning-tower-montessori-kitchen-tower-unicorn-design,Learning Tower & Montessori Kitchen Tower (Unicorn Design),Montessori Home & Study,core_product,supporting_catalog_item,,retry_or_provider_required,B0FMRDDRZK,,,B0FMRDDRZK,pdp_queue_variant_cluster,95,human_retry_required,provider_or_pdp_retry,B2_pdp_retry_provider,P2_medium,browser_harness_retry_then_provider_fallback,"Retry PDP capture or use a product-data provider; current browser capture is weak, blank, or missing social-proof/image detail.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
learning-tower-montessori-kitchen-tower-white,Learning Tower & Montessori Kitchen Tower (White),Montessori Home & Study,core_product,supporting_catalog_item,,retry_or_provider_required,B0FMRDDRZK,,,B0FMRDDRZK,pdp_queue_variant_cluster,94,human_retry_required,provider_or_pdp_retry,B2_pdp_retry_provider,P2_medium,browser_harness_retry_then_provider_fallback,"Retry PDP capture or use a product-data provider; current browser capture is weak, blank, or missing social-proof/image detail.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
wooden-rocking-horse,Wooden Rocking Horse,Giftable Rockers,core_product,supporting_catalog_item,,retry_or_provider_required,B0DSZXRZZ1,,,B0DSZXRZZ1,pdp_queue_high_confidence,100,human_retry_required,provider_or_pdp_retry,B2_pdp_retry_provider,P2_medium,browser_harness_retry_then_provider_fallback,"Retry PDP capture or use a product-data provider; current browser capture is weak, blank, or missing social-proof/image detail.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
kids-toy-storage-organizer-bookshelf-with-bins,Kids Toy Storage Organizer & Bookshelf with Bins,Playroom Reset,core_product,supporting_collection_and_bundle,7,no_marketplace_identity_yet,,,,B0G29XHR28,search_competitor_or_generic_top_result,55,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
wooden-square-stools-2-per-pack,Wooden Square Stools(2 per Pack),Playroom Reset,core_product,supporting_collection_and_bundle,7,no_marketplace_identity_yet,,,,B0FT7DVLDQ,search_competitor_or_generic_top_result,25,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
wooden-bakery-toy-food-playset,Wooden Bakery Toy Food Playset,Pretend Play Worlds,core_product,supporting_catalog_item,6,no_marketplace_identity_yet,,,,B0DD3XRCJH,search_competitor_or_generic_top_result,55,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
kids-coffee-shop-grocery-store-playset,Kids Coffee Shop & Grocery Store Playset,Pretend Play Worlds,core_product,supporting_catalog_item,5,no_marketplace_identity_yet,,,,B0FJFBZ1K2,search_competitor_or_generic_top_result,25,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
kids-toy-storage-organizer-with-bins,Kids Toy Storage Organizer with Bins,Playroom Reset,core_product,supporting_collection_and_bundle,5,no_marketplace_identity_yet,,,,B01NAI6YC5,search_competitor_or_generic_top_result,25,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
outdoor-mud-kitchen-yellow,Outdoor Mud Kitchen - Yellow,Pretend Play Worlds,core_product,supporting_catalog_item,5,no_marketplace_identity_yet,,,,B0GKM5TTK7,search_competitor_or_generic_top_result,25,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
wooden-washer-dryer-playset,Wooden Washer & Dryer Playset,Pretend Play Worlds,core_product,supporting_catalog_item,5,no_marketplace_identity_yet,,,,B0FCRMY75X,search_competitor_or_generic_top_result,25,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
outdoor-garden-potting-bench-table,Outdoor Garden - Potting Bench Table,Pretend Play Worlds,core_product,supporting_catalog_item,4,no_marketplace_identity_yet,,,,B0DR2C1557,search_competitor_or_generic_top_result,55,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
labrador-plush-rocker,Labrador Plush Rocker,Giftable Rockers,core_product,supporting_catalog_item,3,no_marketplace_identity_yet,,,,B0F6C15NM9,search_competitor_or_generic_top_result,45,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
wooden-toy-storage-organizer-with-shelves-bins,Wooden Toy Storage Organizer with Shelves & Bins,Playroom Reset,core_product,supporting_collection_and_bundle,3,no_marketplace_identity_yet,,,,B0FS6P7PHY,search_competitor_or_generic_top_result,55,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
shark-activity-wall-busy-board-panel,Shark Activity Wall Busy Board Panel,First Steps & Activity,core_product,family_collection_not_exact_marketplace_claim,2,no_marketplace_identity_yet,,,,B0CTGTZVHH,search_competitor_or_generic_top_result,50,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
wooden-rotating-bookshelf,Wooden Rotating Bookshelf,Playroom Reset,site_all_only,supporting_collection_and_bundle,2,no_marketplace_identity_yet,,,,B09461C2CH,search_competitor_or_generic_top_result,25,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
rubber-wood-corner-cabinet,Rubber Wood Corner Cabinet,Playroom Reset,core_product,supporting_collection_and_bundle,1,no_marketplace_identity_yet,,,,B0G2M4BCRZ,search_competitor_or_generic_top_result,25,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
wooden-mud-kitchen-outdoor-play-kitchen-with-planter-box-sink,Wooden Mud Kitchen with Planter Box,Pretend Play Worlds,core_product,supporting_catalog_item,1,no_marketplace_identity_yet,,,,B0GKM5TTK7,search_competitor_or_generic_top_result,25,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
elephant-activity-wall-busy-board-panel,Elephant Activity Wall Busy Board Panel,First Steps & Activity,core_product,family_collection_not_exact_marketplace_claim,,no_marketplace_identity_yet,,,,B0F4R13P6M,search_competitor_or_generic_top_result,55,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
magnetic-easel-with-deluxe-art-supplies-colorful,Magnetic Easel with Deluxe Art Supplies – Colorful,First Steps & Activity,core_product,family_collection_not_exact_marketplace_claim,,no_marketplace_identity_yet,,,,B00MC7TC6M,search_competitor_or_generic_top_result,45,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
magnetic-easel-with-deluxe-art-supplies-pink,Magnetic Easel with Deluxe Art Supplies – Pink,First Steps & Activity,core_product,family_collection_not_exact_marketplace_claim,,no_marketplace_identity_yet,,,,B086WNQRC3,search_competitor_or_generic_top_result,50,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
magnetic-easel-with-deluxe-art-supplies-purple,Magnetic Easel with Deluxe Art Supplies – Purple,First Steps & Activity,core_product,family_collection_not_exact_marketplace_claim,,no_marketplace_identity_yet,,,,B086WNQRC3,search_competitor_or_generic_top_result,50,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
sit-and-spin-wooden-spinner-seat,Sit and Spin Wooden Spinner Seat,First Steps & Activity,core_product,family_collection_not_exact_marketplace_claim,,no_marketplace_identity_yet,,,,B09WFVR9D9,search_competitor_or_generic_top_result,55,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
wooden-rainbow-rocking-chair,Wooden Rainbow Rocking Chair,Giftable Rockers,core_product,supporting_catalog_item,,no_marketplace_identity_yet,,,,B0BFF4C6VQ,search_competitor_or_generic_top_result,25,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
wooden-round-stools-2-per-pack,Wooden Round Stools(2 per Pack),Playroom Reset,core_product,supporting_collection_and_bundle,,no_marketplace_identity_yet,,,,B0FD2YT9K6,search_competitor_or_generic_top_result,40,,,B3_no_identity_restart_discovery,P2_medium,exact_title_brand_search_then_provider_fallback,"No accepted marketplace identity yet; restart discovery with exact title, brand, image search, and provider fallback.",no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
midnight-serenity-wooden-play-kitchen-set,Midnight Serenity Wooden Play Kitchen Set,Pretend Play Worlds,core_product,dtc_visible_marketplace_blocked,10,blocked_negative_example,B0FH1KX7XQ,25,Pretty valley,B0FH1KX7XQ,pdp_queue_variant_cluster,85,human_rejected_wrong_variant,blocked_negative_training,B4_negative_training_restart_search,P2_medium,search_with_negative_asin_exclusion,Keep as negative training; restart discovery with exclusion terms and do not reuse the blocked ASIN as proof.,no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
highlander-cattle-plush-rocker,Highlander Cattle Plush Rocker,Giftable Rockers,core_product,dtc_visible_marketplace_blocked,6,blocked_negative_example,B071774PWC,662,Labebe Store,B071774PWC,search_competitor_or_generic_top_result,40,human_rejected_wrong_product,blocked_negative_training,B4_negative_training_restart_search,P2_medium,search_with_negative_asin_exclusion,Keep as negative training; restart discovery with exclusion terms and do not reuse the blocked ASIN as proof.,no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
stylish-wooden-kids-kitchen-playset,Stylish Wooden Kids Kitchen Playset,Pretend Play Worlds,core_product,dtc_visible_marketplace_blocked,4,blocked_negative_example,B0FH1KX7XQ,25,Pretty valley,B0FH1KX7XQ,pdp_queue_variant_cluster,80,human_rejected_wrong_variant,blocked_negative_training,B4_negative_training_restart_search,P3_low,search_with_negative_asin_exclusion,Keep as negative training; restart discovery with exclusion terms and do not reuse the blocked ASIN as proof.,no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
ice-cream-cart-baby-push-walker,Ice Cream Cart Baby Push Walker,First Steps & Activity,site_all_only,dtc_visible_marketplace_blocked,3,blocked_negative_example,B0F8PZ7KZQ,73,Labebe Store,B0F8PZ7KZQ,pdp_queue_variant_cluster,82,human_rejected_wrong_variant,blocked_negative_training,B4_negative_training_restart_search,P3_low,search_with_negative_asin_exclusion,Keep as negative training; restart discovery with exclusion terms and do not reuse the blocked ASIN as proof.,no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
yak-plush-rocker,Yak Plush Rocker,Giftable Rockers,core_product,dtc_visible_marketplace_blocked,3,blocked_negative_example,B07Z3DXVQT,,,B07Z3DXVQT,pdp_queue_variant_cluster,90,human_rejected_wrong_variant,blocked_negative_training,B4_negative_training_restart_search,P3_low,search_with_negative_asin_exclusion,Keep as negative training; restart discovery with exclusion terms and do not reuse the blocked ASIN as proof.,no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
farm-themed-baby-push-walker,Farm-Themed Baby Push Walker,First Steps & Activity,site_all_only,dtc_visible_marketplace_blocked,,blocked_negative_example,B0F8PZ7KZQ,73,Labebe Store,B0F8PZ7KZQ,pdp_queue_variant_cluster,85,human_rejected_wrong_variant,blocked_negative_training,B4_negative_training_restart_search,P3_low,search_with_negative_asin_exclusion,Keep as negative training; restart discovery with exclusion terms and do not reuse the blocked ASIN as proof.,no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
panda-baby-push-walker,Panda Baby Push Walker,First Steps & Activity,site_all_only,dtc_visible_marketplace_blocked,,blocked_negative_example,B0D6YX3XG1,132,Pretty valley,B0D6YX3XG1,pdp_queue_variant_cluster,90,human_rejected_wrong_variant,blocked_negative_training,B4_negative_training_restart_search,P3_low,search_with_negative_asin_exclusion,Keep as negative training; restart discovery with exclusion terms and do not reuse the blocked ASIN as proof.,no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
