claim_id,sku_id,asin,claim_text,claim_type,source_surface,identity_status,decision,reason,source_json,observed_at
B07MFXJ28Y-bullet-01,llama-plush-rocker,B07MFXJ28Y,"Award-Winning - The smart rocking horse design won the award from Melbourne and Nuremberg toys exhibition for the fabulous plush animal design. The structure and rocking horse appearance are all originally designed by our French team. It is especially cute and sturdy. You will only find those cute ride-on toys, plush rocking horse at Labebe store and your kids will be extremely surprised and happy to have such a wooden rocking horse for birthday gift or Christmas gift.",award_design,Amazon PDP feature bullets,accepted_browser_visual_sample,blocked_for_dtc_reuse,Award/design-origin claim needs independent evidence.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B07MFXJ28Y_structured.json,2026-04-27T17:22:19.318Z
B07MFXJ28Y-bullet-02,llama-plush-rocker,B07MFXJ28Y,"Perfect Soft for Baby Skin - The filled PP cotton are all well stitched inside the plush fabric, sewing are neatly done, baby's little butt is completely protected by softness and you won't find any fiberfill come out from corner, rocking horse will stay solid even when roughly pulled by babies. The abundant pp cotton is spread evenly at every corner, this ensures comfort. Your child will enjoy it with this baby riding horse, this rocking horse is an ideal gift for 1-3 years old baby!",safety_general,Amazon PDP feature bullets,accepted_browser_visual_sample,manual_review_required,Safety-oriented seller claim needs official support and softened wording.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B07MFXJ28Y_structured.json,2026-04-27T17:22:19.318Z
B07MFXJ28Y-bullet-03,llama-plush-rocker,B07MFXJ28Y,"Sturdy Structure - Solid wood and MDF (Medium Density Fiber) are used to make the structure, solid but not too heavy to rock. The wooden structure and rails are rounded and examined manually, to give a smooth surface, not to scratch kids' clothes and skin. All the Materials are strict to the Toys Safety Standards ASTM/CE F963 in USA and EN75 CE in Europa. All of these make it a suitable rocking horse nursery or rocking chair for kids.",safety_certification,Amazon PDP feature bullets,accepted_browser_visual_sample,blocked_for_dtc_reuse,Safety/certification claim needs official source and manual review.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B07MFXJ28Y_structured.json,2026-04-27T17:22:19.318Z
B07MFXJ28Y-bullet-04,llama-plush-rocker,B07MFXJ28Y,"Easy Assemble & Easy Cleaning - The package has clearly installation instructions, you can complete assembling within 15 minutes (just some screws). Within a short time, you can create a 0-to-1 miracle in front of your kid! During the assembly process, you can invite your kid together, it will be a happy time. The surface of the rocker is made of the 3rd generation plush fabric, the fabric is soft, stain-resistant and pill-free. You can remove the stain with a wet rag and baking soda.",materials,Amazon PDP feature bullets,accepted_browser_visual_sample,manual_review_required,Material claim needs official product/spec source.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B07MFXJ28Y_structured.json,2026-04-27T17:22:19.318Z
B07MFXJ28Y-bullet-05,llama-plush-rocker,B07MFXJ28Y,"Certified Safe Material & Quality Guarantee - Our products feature third-generation plush fabrics and premium PP cotton, PP cotton can still be kept breathable in summer. This white llama/Alpaca rocking horse will accompany your child safe growth. Material of our rocking horse used is strict to Toys Safety Standards EN-71 CE in Europe and ASTM F963 in US.",safety_certification,Amazon PDP feature bullets,accepted_browser_visual_sample,blocked_for_dtc_reuse,Safety/certification claim needs official source and manual review.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B07MFXJ28Y_structured.json,2026-04-27T17:22:19.318Z
B0DSVJB5QH-bullet-01,fox-plush-rocker,B0DSVJB5QH,"labebe Unique Fox Animal Design: A cute baby rocking toy for kids, the structure and plush animal appearance are all originally designed by our French Team. Using baby's favorite biomimetic vulpes design, it is specially cute and sturdy, children must love such a good companion! All plush images are designed in house, not copy! The supporting structure is made of solid wood which has 150 lb as max weight capacity. This cute fox rocker horse is a best gift for baby on holidays or birthdays.",weight_capacity,Amazon PDP feature bullets,accepted_but_search_mismatch_source,manual_review_required,Capacity claim needs official spec verification.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B0DSVJB5QH_structured.json,2026-04-27T17:22:19.203Z
B0DSVJB5QH-bullet-02,fox-plush-rocker,B0DSVJB5QH,"Fox Rocking Horse : The fox represents nobility and intelligence.Unlike traditional rockers, the seat is integrated with the vulpes animal, making you feel as if you are inside it, backrest design in addition keep toddlers snug and secure whilst rocking.Adjustable 3-point safety harness allows this brownish red fox rocking horse to grow with your baby. Little ones aged 6M+ Babies will love saddling up and taking a ride on this adorable fox rocker toy.",listing_copy,Amazon PDP feature bullets,accepted_but_search_mismatch_source,internal_reference_only,Seller listing copy is not automatically reusable as DTC truth.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B0DSVJB5QH_structured.json,2026-04-27T17:22:19.203Z
B0DSVJB5QH-bullet-03,fox-plush-rocker,B0DSVJB5QH,"Details Designed for 6M+ Babies : Rattling paper hidden in the ears of the vulpes rocking horse. Rustling sound when touched, stimulating baby's sense of hearing. The perfect plush bring a soft touch feel and take care of baby's delicate skin. This rocking animal fox has also smooth handles for little hands to safely hold onto. The rocking fox is a lovely gift idea for little ones and also a beautiful addition to a playroom or bedroom.",gift_angle,Amazon PDP feature bullets,accepted_but_search_mismatch_source,allowed_as_marketing_angle,Gift positioning is allowed if not presented as performance proof.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B0DSVJB5QH_structured.json,2026-04-27T17:22:19.203Z
B0DSVJB5QH-bullet-04,fox-plush-rocker,B0DSVJB5QH,"CERTIFIED SAFE MATERIALS : Baby rocking horse toy all materials have passed American Toy Standards certification and have even higher levels than CPC certification, ASTM test reports and Europe's EN71 testing. All these make it a safe and sturdy fox rocking horse for infants 6M-3Y, a must-have stuffed animal ride.",safety_certification,Amazon PDP feature bullets,accepted_but_search_mismatch_source,blocked_for_dtc_reuse,Safety/certification claim needs official source and manual review.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B0DSVJB5QH_structured.json,2026-04-27T17:22:19.203Z
B0DSVJB5QH-bullet-05,fox-plush-rocker,B0DSVJB5QH,"Rocking Horse Benefits - The Wooden Rocking Horse will help train young babies' core muscles, particularly their upper body strength to keep them upright on the vulpes rocking horse. Rocking animal may help kids develop their fine motor skill. While holding the handles, placing their legs and arms at the right place of rocker horse encourages the coordination between the arms, hands, legs and feet. Promote early intellectual development. Baby will gradually learn to rock and play independently, building confidence and good character at an early age.",development_benefit,Amazon PDP feature bullets,accepted_but_search_mismatch_source,manual_review_required,Development-benefit claim needs softened language and review.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B0DSVJB5QH_structured.json,2026-04-27T17:22:19.203Z
B087P9SXZQ-bullet-01,doll-stroller-baby-push-walker,B087P9SXZQ,"Supports baby’s first steps: This wooden baby walker provides the stability early walkers need to practice standing and walking with confidence. Smooth-rolling wheels make it easy for little legs to push — helping develop balance, strength, and independence from day one.",development_benefit,Amazon PDP feature bullets,candidate_visual_conflict,manual_review_required,Development-benefit claim needs softened language and review.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B087P9SXZQ_structured.json,2026-04-27T16:52:10.775Z
B087P9SXZQ-bullet-02,doll-stroller-baby-push-walker,B087P9SXZQ,"Shopping Cart Play & Storage: More than a walker, it’s a playful shopping cart! With a comfy seat for dolls or plush toys and a roomy basket for carrying favorite items, babies can enjoy imaginative role-play while transporting their treasures around the house.",listing_copy,Amazon PDP feature bullets,candidate_visual_conflict,internal_reference_only,Seller listing copy is not automatically reusable as DTC truth.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B087P9SXZQ_structured.json,2026-04-27T16:52:10.775Z
B087P9SXZQ-bullet-03,doll-stroller-baby-push-walker,B087P9SXZQ,"Designed for Babies: Every detail is made with babies in mind — rubber-covered wheels for smoother and quieter pushing while protecting floors, rounded edges and a stable wide-base structure to prevent bumps and tipping. All surfaces are polished for a gentle touch, helping babies walk confidently with maximum safety.",safety_general,Amazon PDP feature bullets,candidate_visual_conflict,manual_review_required,Safety-oriented seller claim needs official support and softened wording.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B087P9SXZQ_structured.json,2026-04-27T16:52:10.775Z
B087P9SXZQ-bullet-04,doll-stroller-baby-push-walker,B087P9SXZQ,"Sturdy & Easy Assembly: Crafted from durable wood with bright, natural finishes that blend beautifully with any room. Comes with clear instructions — assembling it becomes a sweet parent-child moment as your little one watches their walker come to life.",listing_copy,Amazon PDP feature bullets,candidate_visual_conflict,internal_reference_only,Seller listing copy is not automatically reusable as DTC truth.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B087P9SXZQ_structured.json,2026-04-27T16:52:10.775Z
B087P9SXZQ-bullet-05,doll-stroller-baby-push-walker,B087P9SXZQ,"Gift for 12 months and up: Certified to EN-71 CE and ASTM safety standards, this cute walker makes a wonderful gift for toddlers 12 months and up — ideal for birthdays, holidays, and everyday surprises.",safety_certification,Amazon PDP feature bullets,candidate_visual_conflict,blocked_for_dtc_reuse,Safety/certification claim needs official source and manual review.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B087P9SXZQ_structured.json,2026-04-27T16:52:10.775Z
