asset_id,filename,referenced_product_slug,referenced_product_title,collection,world,source_class,source_evidence,hash_evidence,current_site_usage,prototype_status,production_clearance_status,required_decision,required_reviewers,replacement_required_if,clearance_notes
SITE-ASSET-011,highlander-cattle-plush-rocker.jpg,highlander-cattle-plush-rocker,Highlander Cattle Plush Rocker,rockers-ride-ons,Giftable Rockers,official_catalog_exact_copy,data/labebe/images/highlander-cattle-plush-rocker.jpg,e16c2b2adff9f5bd,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-012,ice-cream-cart-baby-push-walker.jpg,ice-cream-cart-baby-push-walker,Ice Cream Cart Baby Push Walker,new-in,First Steps & Activity,official_catalog_live_probe_exact_copy,data/labebe/live_probe_images_20260428/ice-cream-cart-baby-push-walker.jpg,a82973ef0ebb6b22,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-013,kids-coffee-shop-grocery-store-playset.jpg,kids-coffee-shop-grocery-store-playset,Kids Coffee Shop Grocery Store Playset,pretend-play,Tiny Pretend Worlds,official_catalog_exact_copy,data/labebe/images/kids-coffee-shop-grocery-store-playset.jpg,8b40be4be046bafe,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-014,kids-toy-storage-organizer-bookshelf-with-bins.jpg,kids-toy-storage-organizer-bookshelf-with-bins,Kids Toy Storage Organizer Bookshelf with Bins,furniture,Playroom Reset,official_catalog_exact_copy,data/labebe/images/kids-toy-storage-organizer-bookshelf-with-bins.jpg,c0839caa2a4d062c,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-015,learning-tower-montessori-kitchen-tower-white.jpg,learning-tower-montessori-kitchen-tower-white,Learning Tower Montessori Kitchen Tower White,furniture,Montessori at Home,official_catalog_exact_copy,data/labebe/images/learning-tower-montessori-kitchen-tower-white.jpg,f2ddceb2dd09341b,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-016,llama-plush-rocker.jpg,llama-plush-rocker,Llama Plush Rocker,rockers-ride-ons,Giftable Rockers,official_catalog_exact_copy,data/labebe/images/llama-plush-rocker.jpg,9614fc38080f9d5b,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-017,magnetic-easel-with-deluxe-art-supplies-pink.jpg,magnetic-easel-with-deluxe-art-supplies-pink,Magnetic Easel with Deluxe Art Supplies,activity-educational-toys,Milestone Activity,official_catalog_exact_copy,data/labebe/images/magnetic-easel-with-deluxe-art-supplies-pink.jpg,0d370eaa3b67b761,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-018,midnight-serenity-wooden-play-kitchen-set.jpg,midnight-serenity-wooden-play-kitchen-set,Midnight Serenity Wooden Play Kitchen Set,pretend-play,Tiny Pretend Worlds,official_catalog_exact_copy,data/labebe/images/midnight-serenity-wooden-play-kitchen-set.jpg,02f6d7793aa15f99,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-019,natural-wood-montessori-shelf-with-storage-boxes.jpg,natural-wood-montessori-shelf-with-storage-boxes,Natural Wood Montessori Shelf with Storage Boxes,furniture,Playroom Reset,official_catalog_exact_copy,data/labebe/images/natural-wood-montessori-shelf-with-storage-boxes.jpg,7044fe253f8452fd,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-020,outdoor-garden-potting-bench-table.jpg,outdoor-garden-potting-bench-table,Outdoor Garden Potting Bench Table,pretend-play,Outdoor Pretend Play,official_catalog_exact_copy,data/labebe/images/outdoor-garden-potting-bench-table.jpg,555fe94fa909e066,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-021,panda-baby-push-walker.jpg,panda-baby-push-walker,Panda Baby Push Walker,new-in,First Steps & Activity,official_catalog_live_probe_exact_copy,data/labebe/live_probe_images_20260428/panda-baby-push-walker.jpg,ddc570d2bd6b18f9,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-022,pink-unicorn-plush-rocker.jpg,pink-unicorn-plush-rocker,Pink Unicorn Plush Rocker,rockers-ride-ons,Giftable Rockers,official_catalog_exact_copy,data/labebe/images/pink-unicorn-plush-rocker.jpg,be5e5b9d8afd7647,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-023,rubber-wood-corner-cabinet.jpg,rubber-wood-corner-cabinet,Rubber Wood Corner Cabinet,furniture,Playroom Reset,official_catalog_exact_copy,data/labebe/images/rubber-wood-corner-cabinet.jpg,cbbdf825863c8374,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-024,white-swan-plush-rocker.jpg,white-swan-plush-rocker,White Swan Plush Rocker,rockers-ride-ons,Giftable Rockers,official_catalog_live_probe_exact_copy,data/labebe/images/white-swan-plush-rocker.jpg,694cca94cab5b0d7,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-025,wooden-mud-kitchen-outdoor-play-kitchen-with-planter-box-sink.jpg,wooden-mud-kitchen-outdoor-play-kitchen-with-planter-box-sink,Wooden Mud Kitchen Outdoor Play Kitchen,pretend-play,Outdoor Pretend Play,official_catalog_exact_copy,data/labebe/images/wooden-mud-kitchen-outdoor-play-kitchen-with-planter-box-sink.jpg,57b7d4adb292dbe4,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-026,wooden-washer-dryer-playset.jpg,wooden-washer-dryer-playset,Wooden Washer Dryer Playset,pretend-play,Tiny Pretend Worlds,official_catalog_exact_copy,data/labebe/images/wooden-washer-dryer-playset.jpg,ff4e7dc64762dcae,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
